created,id,option__id,option__key,option__value,option__vote,person__bioguideid,person__birthday,person__cspanid,person__firstname,person__gender,person__gender_label,person__id,person__lastname,person__link,person__middlename,person__name,person__namemod,person__nickname,person__osid,person__pvsid,person__sortname,person__twitterid,person__youtubeid,person_role__caucus,person_role__congress_numbers,person_role__current,person_role__description,person_role__district,person_role__enddate,person_role__id,person_role__leadership_title,person_role__party,person_role__person,person_role__phone,person_role__role_type,person_role__role_type_label,person_role__senator_class,person_role__senator_rank,person_role__startdate,person_role__state,person_role__title,person_role__title_long,person_role__website,vote__category,vote__category_label,vote__chamber,vote__chamber_label,vote__congress,vote__created,vote__id,vote__link,vote__missing_data,vote__number,vote__question,vote__question_details,vote__related_amendment,vote__related_bill,vote__required,vote__result,vote__session,vote__source,vote__source_label,vote__total_minus,vote__total_other,vote__total_plus,vote__vote_type,voter_type,voter_type_label
2014-12-11T21:37:00,30539233,444749,+,Yea,116058,C000071,1953-07-09,23039,Dave,male,Male,400058,Camp,https://www.govtrack.us/congress/members/dave_camp/400058,Lee,Rep. Dave Camp [R-MI4],,,N00008086,26911,"Camp, Dave (Rep.) [R-MI4]",RepDaveCamp,DaveCampYT,,[113],True,Representative for Michigan's 4th congressional district,4,2015-01-03,42703,,Republican,400058,202-225-3561,representative,Representative,,,2013-01-03,MI,Rep.,Representative,http://camp.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539234,444749,+,Yea,116058,C001047,1953-11-26,83737,Shelley,female,Female,400061,Capito,https://www.govtrack.us/congress/members/shelley_capito/400061,Moore,Rep. Shelley Capito [R-WV2],,,N00009771,11701,"Capito, Shelley (Rep.) [R-WV2]",RepShelley,RepShelleyCapito,,[113],True,Representative for West Virginia's 2nd congressional district,2,2015-01-03,42705,,Republican,400061,202-225-2711,representative,Representative,,,2013-01-03,WV,Rep.,Representative,http://capito.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539446,444750,-,Nay,116058,C001036,1938-01-10,54075,Lois,female,Female,400062,Capps,https://www.govtrack.us/congress/members/lois_capps/400062,,Rep. Lois Capps [D-CA24],,,N00007232,16886,"Capps, Lois (Rep.) [D-CA24]",RepLoisCapps,reploiscapps,,[113],True,Representative for California's 24th congressional district,24,2015-01-03,42706,,Democrat,400062,202-225-3601,representative,Representative,,,2013-01-03,CA,Rep.,Representative,http://capps.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539634,444752,0,Not Voting,116058,C001037,1952-01-09,56760,Michael,male,Male,400063,Capuano,https://www.govtrack.us/congress/members/michael_capuano/400063,E.,Rep. Michael Capuano [D-MA7],,,N00000267,18883,"Capuano, Michael (Rep.) [D-MA7]",,RepMikeCapuano,,[113],True,Representative for Massachusetts's 7th congressional district,7,2015-01-03,42707,,Democrat,400063,202-225-5111,representative,Representative,,,2013-01-03,MA,Rep.,Representative,http://www.house.gov/capuano,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539236,444749,+,Yea,116058,C001051,1941-11-06,1004257,John,male,Male,400068,Carter,https://www.govtrack.us/congress/members/john_carter/400068,R.,Rep. John Carter [R-TX31],,,N00025095,49296,"Carter, John (Rep.) [R-TX31]",JudgeCarter,repjohncarter,,[113],True,Representative for Texas's 31st congressional district,31,2015-01-03,42709,,Republican,400068,202-225-3864,representative,Representative,,,2013-01-03,TX,Rep.,Representative,http://carter.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539238,444749,+,Yea,116058,C000266,1953-01-22,36705,Steve,male,Male,400071,Chabot,https://www.govtrack.us/congress/members/steve_chabot/400071,J.,Rep. Steve Chabot [R-OH1],,,N00003689,21790,"Chabot, Steve (Rep.) [R-OH1]",RepSteveChabot,congressmanchabot,,[113],True,Representative for Ohio's 1st congressional district,1,2015-01-03,42710,,Republican,400071,202-225-2216,representative,Representative,,,2013-01-03,OH,Rep.,Representative,http://chabot.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539240,444749,+,Yea,116058,C001049,1956-07-27,88332,Wm.,male,Male,400074,Clay,https://www.govtrack.us/congress/members/lacy_clay/400074,Lacy,Rep. Lacy Clay [D-MO1],Jr.,,N00012460,8967,"Clay, Lacy (Rep.) [D-MO1]",,WilliamLacyClay,,[113],True,Representative for Missouri's 1st congressional district,1,2015-01-03,42712,,Democrat,400074,202-225-2406,representative,Representative,,,2013-01-03,MO,Rep.,Representative,http://lacyclay.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539241,444749,+,Yea,116058,C000537,1940-07-21,21607,James,male,Male,400075,Clyburn,https://www.govtrack.us/congress/members/james_clyburn/400075,E.,Rep. James “Jim” Clyburn [D-SC6],,Jim,N00002408,27066,"Clyburn, James “Jim” (Rep.) [D-SC6]",Clyburn,repjamesclyburn,,[113],True,Representative for South Carolina's 6th congressional district,6,2015-01-03,42713,,Democrat,400075,202-225-3315,representative,Representative,,,2013-01-03,SC,Rep.,Representative,http://clyburn.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539242,444749,+,Yea,116058,C000556,1931-03-18,6961,Howard,male,Male,400076,Coble,https://www.govtrack.us/congress/members/howard_coble/400076,,Rep. Howard Coble [R-NC6],,,N00002247,27001,"Coble, Howard (Rep.) [R-NC6]",HowardCoble,,,[113],True,Representative for North Carolina's 6th congressional district,6,2015-01-03,42714,,Republican,400076,202-225-3065,representative,Representative,,,2013-01-03,NC,Rep.,Representative,http://coble.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539244,444749,+,Yea,116058,C001053,1949-04-28,1003609,Tom,male,Male,400077,Cole,https://www.govtrack.us/congress/members/tom_cole/400077,,Rep. Tom Cole [R-OK4],,,N00025726,46034,"Cole, Tom (Rep.) [R-OK4]",TomColeOK04,reptomcole,,[113],True,Representative for Oklahoma's 4th congressional district,4,2015-01-03,42715,,Republican,400077,202-225-6165,representative,Representative,,,2013-01-03,OK,Rep.,Representative,http://cole.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539459,444750,-,Nay,116058,C000714,1929-05-16,1824,John,male,Male,400080,Conyers,https://www.govtrack.us/congress/members/john_conyers/400080,,Rep. John Conyers [D-MI13],Jr.,,N00004029,26904,"Conyers, John (Rep.) [D-MI13]",RepJohnConyers,JCMI14,,[113],True,Representative for Michigan's 13th congressional district,13,2015-01-03,42716,,Democrat,400080,202-225-5126,representative,Representative,,,2013-01-03,MI,Rep.,Representative,http://conyers.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539460,444750,-,Nay,116058,C000754,1954-06-19,1201,Jim,male,Male,400081,Cooper,https://www.govtrack.us/congress/members/jim_cooper/400081,,Rep. Jim Cooper [D-TN5],,,N00003132,48891,"Cooper, Jim (Rep.) [D-TN5]",RepJimCooper,RepJimCooper,,[113],True,Representative for Tennessee's 5th congressional district,5,2015-01-03,42717,,Democrat,400081,202-225-4311,representative,Representative,,,2013-01-03,TN,Rep.,Representative,http://cooper.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539251,444749,+,Yea,116058,C001045,1944-09-01,1007679,Ander,male,Male,400086,Crenshaw,https://www.govtrack.us/congress/members/ander_crenshaw/400086,,Rep. Ander Crenshaw [R-FL4],,,N00012739,31130,"Crenshaw, Ander (Rep.) [R-FL4]",AnderCrenshaw,RepAnderCrenshaw,,[113],True,Representative for Florida's 4th congressional district,4,2015-01-03,42718,,Republican,400086,202-225-2501,representative,Representative,,,2013-01-03,FL,Rep.,Representative,http://crenshaw.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539252,444749,+,Yea,116058,C001038,1962-03-16,57880,Joseph,male,Male,400087,Crowley,https://www.govtrack.us/congress/members/joseph_crowley/400087,,Rep. Joseph Crowley [D-NY14],,,N00001127,4295,"Crowley, Joseph (Rep.) [D-NY14]",RepJoeCrowley,RepJoeCrowley,,[113],True,Representative for New York's 14th congressional district,14,2015-01-03,42719,,Democrat,400087,202-225-3965,representative,Representative,,,2013-01-03,NY,Rep.,Representative,http://crowley.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539254,444749,+,Yea,116058,C001048,1956-08-24,88078,John,male,Male,400089,Culberson,https://www.govtrack.us/congress/members/john_culberson/400089,Abney,Rep. John Culberson [R-TX7],,,N00009738,5488,"Culberson, John (Rep.) [R-TX7]",CongCulberson,johnculbersontx07,,[113],True,Representative for Texas's 7th congressional district,7,2015-01-03,42720,,Republican,400089,202-225-2571,representative,Representative,,,2013-01-03,TX,Rep.,Representative,http://culberson.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539464,444750,-,Nay,116058,C000984,1951-01-18,43300,Elijah,male,Male,400090,Cummings,https://www.govtrack.us/congress/members/elijah_cummings/400090,E.,Rep. Elijah Cummings [D-MD7],,,N00001971,345,"Cummings, Elijah (Rep.) [D-MD7]",RepCummings,ElijahECummings,,[113],True,Representative for Maryland's 7th congressional district,7,2015-01-03,42721,,Democrat,400090,202-225-4741,representative,Representative,,,2013-01-03,MD,Rep.,Representative,http://cummings.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539465,444750,-,Nay,116058,D000096,1941-09-06,44325,Danny,male,Male,400093,Davis,https://www.govtrack.us/congress/members/danny_davis/400093,K.,Rep. Danny Davis [D-IL7],,,N00004884,233,"Davis, Danny (Rep.) [D-IL7]",RepDannyDavis,dannykdavis07,,[113],True,Representative for Illinois's 7th congressional district,7,2015-01-03,42723,,Democrat,400093,202-225-5006,representative,Representative,,,2013-01-03,IL,Rep.,Representative,http://www.davis.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
